Aviva Systems Biology	https://www.linkedin.com/company/aviva-systems-biology
Boster	https://www.linkedin.com/in/cj-xia-4ab6b81b
American Research Products	https://www.linkedin.com/company/arp-american-research-products-inc-
ChromoTek GmbH	https://www.linkedin.com/company/chromotek-gmbh
CovalAb	https://fr.linkedin.com/in/lamia-mebarki-phd-7740b75b
SICGEN	
Jackson ImmunoResearch Laboratories	https://www.linkedin.com/company/jackson-immunoresearch
Antigenix America	
Creative Biomart	
Advansta	
LifeSensors	
StemRD	
ACROBiosystems	
J. Sevigny's research lab	
EIAab	
Abiocode	
St John's Laboratory	
Antibodies-online	
Nordic BioSite	
Toronto BioScience	
AffinityImmuno	
SCICONS	
Celltechgen	
Caprico Biotechnologies	
Absolute Antibody	
Bo Opus Biosciences	
Ampersand Biosciences	
Nova Lifetech	
Medaysis	
Immunoglobe	
Beckman Coulter	https://www.linkedin.com/company/beckman-coulter
Wako Chemicals USA	https://ca.linkedin.com/company/wako-chemicals-usa
SWant	
Vector Laboratories	https://www.linkedin.com/company/vector-laboratories-inc.
Abcepta	
Alpha Diagnostics	https://ca.linkedin.com/company/alphahealthcare
Takara Bio Clontech	
Cell Marque	
Cedarlanelabs	
MP Biochemicals	
BioVision	
Diagenode	
Neuromics	
Meridian Life Science	
Stemcell Technologies	
Echelon Biosciences	
GE Healthcare Life Biosciences	
Phosphosolutions	
National Institutes of Health AIDS Research and Reference Reagent Program	
NewEast Biosciences	
Bachem	
Angiobio	
Proteus Biosciences	
Exbio	
New England Biolabs	
SouthernBiotech	
Pel-Freez	
Abfrontier	
Quidel	
Badrilla	
Immunovision	
BMA Biomedicals	
Exalpha Biologicals	
Genway Biotech	
Atsbio	
QED Bioscience	
Agilent Technologies	
TRANS GENIC	
Haematologic Technologies	
Frontier Institute	
Precision Antibody	
Amsbio	
PeproTech	
MD Bioproducts	
Dentritics	
GenScript	
Nacalai Tesque	
Advanced Biotechnologies	
Acris Antibodies	
List Biological Laboratories	
Kamiya Biomedical Company	
Torrey Pines Biolabs	
Accurate Chemical	
BioVendor-Laboratorni medicina a.s. CTPark Modrice	
Bertin Pharma	
Emfret Analytics	
AnaSpec	
Trevigen	
Nichirei Biosciences Inc.	
Biocytex	
CalBioreagents	
Fabgennix	
ECM Biosciences	
M̩diMabs	
BEI Resources	
Biocheckinc	
Allelebiotech	
Genentech	
InvivoGen	
Menarini	
System Biosciences	
Bio-Rad	
Dbiosys	
Euromedex	
Virusys	
Abmart	
MD Biosciences	
Affinity Biosciences	
EPC Elastin Products Company	
Advanced ImmunoChemical	
Antibodies Inc	
Bindingsite	
Takara Bio Inc	
LI-COR Biosciences	
International Blood Group Reference Laboratory	
Biotrend	
multimmune GmbH	
Zebrafish International Resource Center	
Immundiagnostik	
Virogen	
RayBiotech	
DB Biotech	
Strategic Diagnostics	
ViroStat	
Cytognos	
EuroBioSciences	
AmyJet Scientific	
Cambio	
Immune Technology	
Anbo Biotechnology	
Molecular Innovations	
CFTR Folding Consortium	
Aviscera Bioscience	
ProSpec	
Svar Life Science	
Individual Researcher	
Insightbio	
Trendpharmatech	
Toxintechnology	
Kyowa	
Lpbio	
Randox Life Sciences	
QuickZyme Biosciences	
Selleck Chemicals	
Lunginnov	
Pishtaz Teb Zaman Diagnostics	
Ocean Optics Inc.	
Speed BioSystems	
Base Pair Biotechnologies	
Somru BioScience	
Sungene Biotech	
Cancer Research UK	
Biogen	
IMMUNOSTEP	
Perrigo	
Abzoom	
Bioke	
Briar Patch Biosciences	
Spanish National Cancer Research Centre	
YAMASA	
MaxVision Biosciences	
Abways Technology	
IBT Bioservices	
Moravian Biotechnology	
BD Biosciences	
Developmental Studies Hybridoma Bank	
Leica Biosystems	
MBL International	
Neuromab	
Cosmo Bio	
ProSci	
Nanotools	
ATCC	
Biosensis	
Monosan	
Spring Bioscience Corp.	
BioLogo	
Recombinant Antibody Network	
Bioss	
EMD Millipore	
Proteintech Group	
Hycult Biotech	
Bethyl	
Fluidigm	
Immuno-Biological Laboratories	
Cytoskeleton	
Atlas Antibodies	
ReproCELL	
KeraFAST	
ABclonal Biotechnology	
Reliatech GmbH	
Cell Sciences	
Sony	
ImmunoTools	
Sekisui Diagnostics (UK) Limited	
Qiagen	
Luminex Corporation	
Neoclone	
ImmunoWay	
Arigo	
Nordic-MUbio	
Eurogentec	
Corning	
PBL Assay Science	
Source BioScience	
Cytotech	
Ancell	
Boehringer Mannheim	
Triple Point Biologics	
Tebu	
Diasorin	
BioZol	
Athens Research and Technology	
ALPCO	
Affiniti	
Genox	
Innogenetics	
Bioporto	
MedImmune	
Diaclone	
Creativebiolabs	
TopoGEN	
Ximbio	
East Coast Biologics	
Sanbio	
Everest Biotech	
Argene	
Academy Bio-Medical	
Zeta Corporation	
D-Gen	
Capralogics	
ProteinOne	
LAE Biotech	
Jena Bioscience	
Vincibiochem	
Austral Biologicals and Biogenesis Ltd	
Gentaur	
Sanquin	
FibroGen	
Expression Systems	
Charles River Laboratories	
Polysciences	
Genzyme	
Panvera	
Crystal Chem	
Innovative Research	
Matreya	
Biochain	
Xenotech	
A & G Pharmaceuticals	
Neogeneurope	
Symansis	
TOYOBO	
NovaTec Immundiagnostica GmbH	
Anawa	
Anogen	
Clonegene	
Kirkegaard & Perry Laboratories	
Protein Sciences	
Biocat	
Wieslab	
Aldevron	
Abbomax	
Autogenbioclear	
Bioacademia	
Quartett GmbH	
Hitachi High Technologies America	
Ingenasa	
AFFILAND	
Eli Lilly	
BioCarta	
Cambridge Bioscience	
MICROM International GmbH	
ID Labs	
Inova Diagnostics	
Biomedica Medizinprodukte GmbH & Co KG	
Mobitec	
Scytek	
Biotium	
Athenaes	
Aurion	
Eenzyme	
Osenses	
SCETI	
Euro Diagnostica	
IBL International GmbH	
RD-Biotech	
Gen-Probe	
Protein Mods	
Cloud-Clone Corp	
Zymo Research Corporation	
